Date Reported,Incident Site,JIV Date,Terrain,Cause,Estimated Spill Volume (bbl),Recovered Spill Volume (bbl),Clean-up Status,Comments,Photo,JIV Report
"Jun 05, 2019","14"" Okordia - Rumuekpe Pipeline at Oshika","Jun 07, 2019",Land,Sabotage,81.0,4.0,"Spill was contained on 06 Jun 2019, recovery completed on 16 Jan 2020, assessment completed on 24 Jan 2020, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"Jun 05, 2019","12"" Imo River - Ogale Pipeline at Uzuaku","Jun 06, 2019",Land,Sabotage,13.0,5.0,"Recovery completed on 08 Jun 2019, assessment completed on 24 Sep 2019, clean-up and remediation completed on 28 Jun 2020, site certified on 21 Dec 2022, documentation planned to be completed in Feb 2023",-,Download,Download
"Jun 07, 2019","4"" Obelle - Ibaa Pipeline at Ibaa","Jun 14, 2019",Land,Sabotage,4.0,0.25,"Recovery completed on 08 Aug 2019, assessment completed on 05 Feb 2020, clean-up and remediation completed on 24 Mar 2021, site certified on 18 Mar 2022, documentation planned to be completed in Apr 2022",-,Download,Download
"Jun 07, 2019","36"" Nkpoku - Ogale Pipeline at Rumuowha-Eneka","Jun 08, 2019",Land,Sabotage,0.7,,"Spill was contained on 06 Jun 2019, no recoverable oil found, assessment completed on 28 Jun 2019, clean-up and remediation not required, site certified on 25 Nov 2019, documentation planned to be completed in Dec 2021",-,Download,Download
"Jun 09, 2019","14"" Okordia - Rumuekpe Pipeline at Akara-Olu","Jun 10, 2019",Land,Sabotage,4.0,,"No recoverable oil found, assessment completed on 13 Aug 2019, clean-up and remediation not required, site certified on 09 Mar 2020, documentation completed on 04 Oct 2021",-,Download,Download
"Jun 10, 2019","18""Assa - Rumuekpe Pipeline at Awarra","Jun 12, 2019",Land,Sabotage,828.0,773.0,"Recovery completed on 18 Jun 2019, assessment completed on 26 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",-,Download,Download
"Jun 10, 2019","14"" Okordia - Rumuekpe Pipeline at Akara-Olu","Jun 11, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 11 Jun 2019, clean-up and remediation not required, site certified on 03 Oct 2019, documentation planned to be completed in Oct 2021",-,Download,Download
"Jun 11, 2019","14"" Okordia - Rumuekpe Pipeline at Akara-Olu","Jun 11, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 06 Dec 2019, clean-up and remediation not required, site certified on 07 May 2021, documentation completed on 31 Dec 2021",-,Download,Download
"Jun 13, 2019","14"" Okordia - Rumuekpe TL at Akara-Olu","Jun 14, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 10 Aug 2019, clean-up and remediation not required, site certified on 17 Oct 2022, documentation completed on 21 Oct 2022",-,Download,Download
"Jun 13, 2019","14"" Okordia - Rumuekpe Pipeline at Oshie","Jun 17, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 09 Jul 2019, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"Jun 14, 2019","18"" Assa - Rumuekpe Pipeline at Awarra","Jun 15, 2019",Land,Sabotage,1.0,,"No recoverable oil found, assessment completed on 26 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",-,Download,Download
"Jun 17, 2019","20"" KCTL RoW at KM19 Odau","Jun 23, 2019",Land,Sabotage,267.0,1162.0,"Spill was contained on 18 Jun 2019, recovery completed on 19 Oct 2019, assessment completed on 06 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Sep 2023",-,Download,Download
"Jun 19, 2019","24"" Ogale - Bomu Pipeline at Agbeta","Jun 21, 2019",Land,Sabotage,0.4,,"No recoverable oil found, assessment completed on 03 Jul 2019, clean-up and remediation completed on 25 Aug 2022, site certified on 17 Oct 2022, documentation completed on 11 Nov 2022",-,Download,Download
"Jun 19, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Jun 20, 2019",Land,Sabotage,2.0,,"No recoverable oil found, assessment completed on 04 Jul 2019, clean-up and remediation completed on 24 Feb 2020, site certified on 21 Dec 2020, documentation completed on 01 Feb 2021","Multiple incidents 2019_2327455, 2019_2377214 and 2019_2429471 recorded at the location.",Download,Download
"Jun 20, 2019","12"" Imo River - Ogale Pipeline at Owaza","Jun 22, 2019",Land,Sabotage,5.0,,"No recoverable oil found, assessment completed on 17 Dec 2019, clean-up and remediation completed on 15 Nov 2021, site certification planned to be completed in Sep 2023",-,Download,Download
"Jun 24, 2019",24'' Nkpoku - Bomu Pipeline at Sime,"Jun 24, 2019",Land,Sabotage,38.0,,"Recovery completed on 13 Jul 2019, assessment completed on 21 Apr 2021, clean-up and remediation not required, site certified on 07 May 2021, documentation completed on 21 Jan 2022",-,Download,Download
"Jun 25, 2019",14'' Okordia -Rumuekpe Pipeline at Oshie,"Jun 27, 2019",Land,Sabotage,227.0,,"Recovery completed on 27 Aug 2019, assessment completed on 24 Jan 2020, clean-up and remediation not required, site certification planned to be completed in Sep 2023",-,Download,Download
"Jun 25, 2019","28"" Nkpoku - Bomu Pipeline at Ejama - Ebubu","Jun 27, 2019",Land,Sabotage,244.0,,"Spill was contained on 26 Jun 2019, recovery completed on 27 Jun 2019, assessment completed on 26 Oct 2020, clean-up and remediation completed on 09 Jun 2021, site certified on 26 Nov 2021, documentation completed on 28 Feb 2022",New spill recorded at same location with ID# 2443760 on 31 Aug 2019.,Download,Download
"Jun 29, 2019","14""Okordia to Rumuekpe pipeline at Edeoha","Jul 02, 2019",Land,Sabotage,2.0,,"Recovery completed on 02 Jul 2019, assessment completed on 24 Jan 2020, clean-up and remediation not required, site certified on 07 May 2021, documentation completed on 05 Oct 2021",-,Download,Download
"Jul 01, 2019",14” Okordia – Rumuekpe Pipeline at Ula-Ikata,"Jul 03, 2019",Land,Sabotage,108.0,,"Recovery completed on 29 Jul 2019, assessment completed on 04 Mar 2021, clean-up and remediation completed on 07 Apr 2022, site certified on 17 Oct 2022, documentation completed on 21 Oct 2022","‘Three incidents were observed within a short distance of each other with overlapping impact, hence after investigations all the findings were aggregated and recorded in one JIV report.",Download,Download
"Jul 06, 2019","12"" ImoRiver - Ogale Pipeline at Ogale","Jul 11, 2019",Land,Sabotage,0.5,,"Recovery completed on 11 Jul 2019, assessment completed on 18 Oct 2019, clean-up and remediation completed on 04 Mar 2022, site certified on 26 Jul 2022, documentation completed on 10 Aug 2022",New spill incident 2019_2434155 recorded at the same location on 22 Aug 2019.,Download,Download
"Jul 15, 2019","14"" Okordia - Rumuekpe Pipeline at Ikarama","Jul 15, 2019",Swamp,Sabotage,0.1,0.0,"Recovery completed on 15 Jul 2019, assessment completed on 15 Jan 2020, clean-up and remediation not required, site certified on 07 Dec 2021, documentation completed on 03 Jun 2022",-,Download,Download
"Jul 17, 2019","24"" Bomu - Bonny Pipeline at Owokiri","Jul 19, 2019",Land,Sabotage,0.3,,"No recoverable oil found, assessment completed on 14 Sep 2019, clean-up and remediation not required, site certified on 15 Jul 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Jul 18, 2019","10"" Diebu - Nun River Pipeline at Onyoma & Ekowe","Jul 28, 2019",Swamp,Sabotage,188.0,80.0,"Recovery completed on 15 Aug 2019, assessment completed on 29 Jan 2020, clean-up and remediation completed on 13 Apr 2021, site certified on 08 Dec 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Jul 18, 2019","20"" Kolocreek - Rumuekpe Pipeline at Odau KM19","Jul 22, 2019",Land,Sabotage,631.0,1162.0,"Recovery completed on 24 Dec 2019, assessment completed on 06 Sep 2022, clean-up and remediation not required, site certification planned to be completed in Sep 2023",Spill volume adjusted subsequent to JIV based on additional information gained during recovery operations,Download,Download
"Jul 20, 2019","18"" Assa - Rumuekpe Pipeline at Egbeda","Jul 22, 2019",Land,Sabotage,3.0,0.0,"Recovery completed on 22 Jul 2019, assessment completed on 17 Sep 2019, clean-up and remediation not required, site certified on 28 Aug 2020, documentation completed on 17 May 2021",-,Download,Download
"Jul 20, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okoma","Jul 25, 2019",Land,Sabotage,75.0,26.0,"Recovery completed on 28 Aug 2019, assessment completed on 02 Mar 2020, clean-up and remediation completed on 29 Apr 2021, site certified on 04 Apr 2022, documentation planned to be completed in Oct 2022",-,Download,Download
"Jul 27, 2019","14"" Okordia - Rumuekpe TL RoW at Ikarama","Jul 30, 2019",Land,Operational,87.0,61.0,"Recovery completed on 09 Sep 2019, assessment completed on 31 Jan 2020, clean-up and remediation completed on 02 Jul 2021, site certified on 28 Apr 2022, documentation completed on 10 May 2022",Spill volume adjusted subsequent to JIV based on additional information gained during recovery operations,Download,Download
"Jul 27, 2019",Imo River Well 63T at Igiriukwu-Owaza,"Jul 31, 2019",Land,Operational,37.0,20.0,"Spill was contained on 26 Jul 2019, recovery completed on 20 Aug 2019, assessment completed on 04 Feb 2020, clean-up and remediation completed on 30 Mar 2021, site certified on 24 May 2022, documentation completed on 26 May 2022",-,Download,Download
"Jul 29, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okoma","Aug 01, 2019",Land,Sabotage,31.0,,"Spill was contained on 01 Aug 2019, no recoverable oil found, assessment completed on 24 Feb 2020, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"Jul 30, 2019",Imo River Well 33 at Ipu-west Owaza,"Jul 31, 2019",Land,Sabotage,9.0,5.0,"Recovery completed on 20 Aug 2019, assessment completed on 12 Dec 2019, clean-up and remediation completed on 26 Feb 2021, site certified on 15 Jul 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Aug 01, 2019","12"" Imo River - Ogale Pipeline at Okohia","Aug 01, 2019",Land,Sabotage,72.0,66.0,"Recovery completed on 15 Aug 2019, assessment completed on 04 Sep 2019, clean-up and remediation completed on 10 Mar 2021, site certified on 15 Jul 2021, documentation completed on 18 Mar 2022",-,Download,Download
"Aug 02, 2019","24"" TNP at Egbalor","Aug 16, 2019",Land,Sabotage,1.0,,"No recoverable oil found, assessment completed on 30 Jun 2020, clean-up and remediation completed on 26 Oct 2021, site certified on 03 Mar 2022, documentation completed on 08 Apr 2022",-,Download,Download
"Aug 03, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okporowo","Aug 04, 2019",Land,Sabotage,0.4,,"No recoverable oil found, assessment completed on 06 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"Aug 06, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Aug 07, 2019",Land,Sabotage,405.0,111.0,"Recovery completed on 27 Jan 2020, assessment completed on 13 Apr 2021, clean-up and remediation planned to be completed in Jun 2023",-,Download,Download
"Aug 07, 2019","14"" Okordia - Rumuekpe Pipeline at Akinima","Aug 10, 2019",Land,Sabotage,115.0,29.0,"Spill was contained on 08 Aug 2019, recovery completed on 20 Jan 2020, assessment completed on 04 Feb 2020, clean-up and remediation completed on 27 May 2021, site certified on 24 May 2022, documentation completed on 26 May 2022",-,Download,Download
"Aug 07, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Aug 08, 2019",Land,Sabotage,43.0,34.0,"Recovery completed on 23 Dec 2019, assessment completed on 16 Jan 2020, clean-up and remediation completed on 22 Jun 2022, site certified on 26 Jul 2022, documentation completed on 12 Aug 2022",-,Download,Download
"Aug 09, 2019","16"" Nun River - Kolocreek Pipeline at Otuegwu","Aug 24, 2019",Land,Sabotage,141.0,75.0,"Recovery completed on 17 Oct 2019, assessment completed on 18 May 2020, clean-up and remediation completed on 29 Nov 2021, site certified on 08 Dec 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Aug 10, 2019","24"" Nkpoku - Bomu Pipeline at Sime","Aug 13, 2019",Land,Sabotage,40.0,81.0,"Recovery completed on 08 Sep 2019, assessment completed on 13 Oct 2022, clean-up and remediation not required, site certified on 07 Nov 2022, documentation completed on 11 Nov 2022",As a result of constant re-pollution of the site by artisanal refining and crude oil theft activities it was agreed that the Hydrocarbon Pollution Remediation Project (HYPREP) will manage the site as part of their wider Ogoniland remediation. The site will be handed over to HYPREP upon commencement of their remediation programs.,Download,Download
"Aug 10, 2019","12"" Imo River-Ogale Pipeline at Owaza","Aug 13, 2019",Land,Sabotage,313.0,120.0,"Recovery completed on 07 Sep 2019, assessment completed on 15 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"Aug 14, 2019","20"" Kolocreek - Rumuekpe Pipeline at Okporowo","Aug 16, 2019",Land,Sabotage,5.0,,"No recoverable oil found, assessment completed on 07 Dec 2022, clean-up and remediation not required, site certification planned to be completed in Mar 2023",-,Download,Download
"Aug 16, 2019","16"" Egbema - Assa Pipeline at Obile","Aug 18, 2019",Land,Sabotage,10.0,1.0,"Recovery completed on 18 Aug 2019, assessment completed on 26 Feb 2020, clean-up and remediation completed on 23 Feb 2021, site certified on 07 Jul 2022, documentation completed on 28 Oct 2022",-,Download,Download
"Aug 17, 2019","8"" Ubie Delivery Line Barrel at Ukpeliede at Manifold","Aug 18, 2019",Land,Sabotage,90.0,,"Recovery completed on 20 Aug 2019, assessment completed on 04 Feb 2020, clean-up and remediation completed on 17 Mar 2021, site certification planned to be completed in Mar 2022",-,Download,Download
"Aug 17, 2019",24'' Nkpoku - Bomu Pipeline at Egbalor,"Aug 18, 2019",Land,Sabotage,31.0,,"Recovery completed on 19 Aug 2019, assessment completed on 18 Oct 2019, clean-up and remediation completed on 24 Feb 2020, site certified on 21 Dec 2020, documentation completed on 09 Feb 2021",Multiple incidents 2019_2327455; 2019_2377214 & 2019_2429471 recorded at location.,Download,Download
"Aug 17, 2019",10” Gbaran Oil ManiFold – Gbaran CPF Bulkline at Onopa,"Jan 15, 2020",Land,Sabotage,3.0,,"No recoverable oil found, assessment completed on 12 May 2020, clean-up and remediation not required, site certified on 08 Dec 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Aug 22, 2019",Etelebou Flow Station Saver Pit at Ogboloma,"Aug 26, 2019",Swamp,Operational,31.0,,"Recovery completed on 02 Nov 2019, assessment completed on 17 Jan 2020, clean-up and remediation completed on 10 Oct 2021, site certified on 08 Dec 2021, documentation planned to be completed in Mar 2022",Spill volume adjusted subsequent to JIV based on additional information gained during recovery operations.,Download,Download
"Aug 22, 2019","12"" Imo River 1 - Ogale Pipeline at Ogale","Aug 24, 2019",Land,Sabotage,4.0,,"Recovery completed on 24 Aug 2019, assessment completed on 17 Oct 2019, clean-up and remediation completed on 04 Mar 2022, site certified on 26 Jul 2022, documentation completed on 10 Aug 2022",Overlaps incident 2019_2394852,Download,Download
"Aug 22, 2019","8"" Umuechem-Nkpoku DL RoW at Rukpoku","Aug 24, 2019",Land,Sabotage,16.0,,"No recoverable oil found, assessment completed on 21 Jan 2020, clean-up and remediation completed on 25 Jun 2021, site certified on 18 Mar 2022, documentation planned to be completed in Apr 2022",-,Download,Download
"Aug 23, 2019",Imo River Well 59T Flowline at Igiriukwu,"Aug 24, 2019",Land,Sabotage,5.0,,"No recoverable oil found, assessment completed on 10 Feb 2020, clean-up and remediation completed on 02 May 2021, site certified on 15 Jul 2021, documentation completed on 12 Aug 2022",-,Download,Download
"Aug 23, 2019","16"" Egbema-Assa Pipeline at Etekwuru","Aug 25, 2019",Land,Sabotage,887.0,621.0,"Recovery completed on 16 Nov 2019, assessment completed on 23 Jun 2021, clean-up and remediation completed on 29 Jun 2022, site certified on 17 Oct 2022, documentation completed on 21 Oct 2022",-,Download,Download
"Aug 24, 2019","18"" Assa - Rumuekpe TL RoW at Egbeda","Aug 26, 2019",Land,Sabotage,28.0,,"Recovery completed on 27 Aug 2019, assessment completed on 25 Mar 2020, clean-up and remediation completed on 15 Feb 2021, site certified on 15 Jul 2021, documentation completed on 08 Sep 2022",-,Download,Download
"Aug 25, 2019",20'' Kolocreek - Rumuekpe Pipeline at Odau KM9,"Aug 28, 2019",Land,Sabotage,1453.0,,"Recovery completed on 23 Dec 2019, assessment completed on 19 Jul 2022, clean-up and remediation not required, site certification planned to be completed in Dec 2022",Spill volume adjusted subsequent to JIV based on additional information gained during recovery operations.,Download,Download
"Aug 26, 2019","12"" ImoR 2 - Ogale TL RoW at Umuolo","Aug 27, 2019",Land,Sabotage,3.0,,"Recovery completed on 27 Aug 2019, assessment completed on 26 Nov 2019, clean-up and remediation completed on 31 Dec 2020, site certified on 07 May 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Aug 28, 2019","24"" Nkpoku - Bomu Pipeline at Kpite","Aug 29, 2019",Land,Sabotage,30.0,0.0,"Recovery completed on 30 Aug 2019, assessment completed on 20 Nov 2019, clean-up and remediation completed on 02 Mar 2022, site certified on 31 Mar 2022, documentation completed on 19 Apr 2022",-,Download,Download
"Aug 28, 2019","14"" Okordia - Rumuekpe Pipeline at Edeoha","Aug 30, 2019",Land,Sabotage,894.0,677.0,"Recovery completed on 14 Jan 2020, assessment completed on 06 May 2021, clean-up and remediation completed on 12 Apr 2022, site certified on 06 Sep 2022, documentation completed on 07 Dec 2022",-,Download,Download
"Aug 30, 2019","20"" Rumuekpe - Nkpoku Pipeline at Ibaa","Sep 05, 2019",Land,Sabotage,155.0,99.0,"Recovery completed on 08 Nov 2019, assessment completed on 30 Jan 2020, clean-up and remediation completed on 20 Jul 2021, site certified on 10 May 2022, documentation planned to be completed in Jun 2022",-,Download,Download
"Aug 31, 2019","28"" Nkpoku - Bomu Pipeline at Ejamah","Sep 01, 2019",Land,Sabotage,9.0,1.0,"Recovery completed on 03 Sep 2019, assessment completed on 21 Oct 2019, clean-up and remediation completed on 09 Jun 2021, site certified on 26 Nov 2021, documentation completed on 28 Feb 2022",-,Download,Download
"Aug 31, 2019","4"" Obelle - Ibaa Pipeline at Ibaa","Sep 04, 2019",Land,Sabotage,434.0,110.0,"Recovery completed on 08 Nov 2019, assessment completed on 28 Feb 2020, clean-up and remediation completed on 06 Apr 2021, site certification planned to be completed in Mar 2022",-,Download,Download
"Sep 03, 2019",20'' Rumuekpe -Nkpoku Pipeline at Ibaa,"Sep 05, 2019",Land,Sabotage,279.0,118.5,"Recovery completed on 29 Nov 2019, assessment completed on 06 Feb 2020, clean-up and remediation completed on 10 Sep 2021, site certified on 10 May 2022, documentation completed on 30 Jun 2022",-,Download,Download
"Sep 03, 2019","Okoma 1, Ahoada East LGA, R/S","Sep 05, 2019",Land,Sabotage,154.0,27.0,"Recovery completed on 02 Nov 2019, assessment completed on 12 Feb 2020, clean-up and remediation completed on 28 Jun 2021, site certification planned to be completed in Jun 2023",-,Download,Download
"Sep 07, 2019","12"" Imo River - Ogale Pipeline at Okohia","Sep 08, 2019",Land,Sabotage,235.0,219.0,"Recovery completed on 09 Sep 2019, assessment completed on 29 Jan 2020, clean-up and remediation completed on 24 Feb 2021, site certified on 21 Dec 2022, documentation completed on 03 Jan 2023",-,Download,Download
"Sep 10, 2019","24"" Bomu - Bonny Pipeline at Patrick Waterside-Bodo West","Sep 11, 2019",Swamp,Sabotage,3.0,0.0,"Recovery completed on 11 Sep 2019, assessment completed on 11 Nov 2019, clean-up and remediation planned to be completed in Dec 2022","Stated timeline for cleanup is agreed between NAPIMS, DPR, NOSDRA, BODO and community representatives; to ensure effective/thorough clean-up and certification. The Bodo clean-up process is managed by an independent mediation committee (Bodo Mediation Initiative - BMI) comprising amongst others of representatives of; Federal/State Government regulators, Bodo Community and Coalition of NGOs.",Download,Download
"Sep 10, 2019","14"" Okordia - Rumuekpe Pipeline at Ukpelede","Sep 15, 2019",Land,Sabotage,125.0,70.0,"Recovery completed on 30 Sep 2019, assessment completed on 06 May 2021, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"Sep 10, 2019","14"" Okordia - Rumuekpe Pipeline at Ukpeliede","Sep 14, 2019",Land,Sabotage,75.0,63.0,"Recovery completed on 16 Oct 2019, assessment completed on 09 Feb 2020, clean-up and remediation completed on 17 Aug 2021, site certified on 04 Apr 2022, documentation completed on 30 Jun 2022",-,Download,Download
"Sep 11, 2019","16"" Egbema - Assa Pipeline at Obelle","Sep 13, 2019",Land,Sabotage,8.0,5.0,"Recovery completed on 13 Sep 2019, assessment completed on 07 Apr 2022, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"Sep 20, 2019","4"" Obelle - Ibaa Pipeline at Ibaa","Sep 21, 2019",Land,Sabotage,7.0,,"No recoverable oil found, assessment completed on 18 Dec 2019, clean-up and remediation completed on 27 Jan 2021, site certified on 15 Jul 2021, documentation completed on 25 Nov 2022",-,Download,Download
"Sep 20, 2019","4"" Obelle - Ibaa Pipeline at Ibaa","Sep 21, 2019",Land,Sabotage,157.0,20.0,"Recovery completed on 27 Jan 2020, assessment completed on 05 Feb 2020, clean-up and remediation completed on 24 Mar 2021, site certified on 18 Mar 2022, documentation planned to be completed in Apr 2022",-,Download,Download
"Sep 26, 2019",Imo River Well 33 Wellhead at Ipu West,"Sep 27, 2019",Land,Sabotage,21.0,10.0,"Spill was contained on 27 Sep 2019, recovery completed on 19 Nov 2019, assessment completed on 04 Dec 2019, clean-up and remediation completed on 11 Feb 2021, site certified on 15 Jul 2021, documentation completed on 05 May 2022",-,Download,Download
"Oct 02, 2019","14"" Okordia - Rumuekpe Pipeline at Ikata","Oct 03, 2019",Land,Sabotage,145.0,,"Recovery completed on 19 Dec 2019, assessment completed on 24 Feb 2020, clean-up and remediation completed on 26 May 2022, site certified on 21 Dec 2022, documentation planned to be completed in Mar 2023",-,Download,Download
"Oct 04, 2019","14"" Okordia - Rumuekpe Pipeline at Ikata","Oct 04, 2019",Land,Sabotage,3.0,,"Recovery completed on 04 Oct 2019, assessment completed on 06 May 2021, clean-up and remediation completed on 12 Apr 2022, site certified on 06 Sep 2022, documentation planned to be completed in Dec 2022",-,Download,Download
"Oct 08, 2019","14"" Okordia - Rumuekpe Pipeline at Ikarama","Oct 09, 2019",Land,Sabotage,7.0,6.0,"Recovery completed on 31 Oct 2019, assessment completed on 31 Jan 2020, clean-up and remediation completed on 02 Jul 2021, site certified on 28 Apr 2022, documentation completed on 10 May 2022",-,Download,Download
"Oct 10, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Oct 11, 2019",Land,Sabotage,4.0,,"No recoverable oil found, assessment completed on 11 Mar 2020, clean-up and remediation completed on 26 Oct 2021, site certified on 03 Mar 2022, documentation completed on 08 Apr 2022",-,Download,Download
"Oct 11, 2019",14” Okordia – Rumuekpe Pipeline at Ihuowo,"Oct 12, 2019",Land,Sabotage,73.0,,"Recovery completed on 31 Oct 2019, assessment completed on 19 Dec 2019, clean-up and remediation completed on 05 Apr 2021, site certified on 04 Apr 2022, documentation completed on 03 Jun 2022",-,Download,Download
"Oct 15, 2019",24'' Trans Escravos Pipeline at Ogidigben,"Oct 25, 2019",Swamp,Sabotage,8.0,,"No recoverable oil found, assessment completed on 15 Jan 2020, clean-up and remediation completed on 06 Feb 2021, site certified on 01 Feb 2022, documentation completed on 03 Jun 2022","“The incident occurred on 15th October 2019. However, JIV could only be held on 25th October 2019 due to the difficulty in accessing the spill site (swampy terrain)’’",Download,Download
"Oct 16, 2019","12"" Imo River2 - Ogale Pipeline at Ogale","Oct 18, 2019",Land,Sabotage,38.0,,"Recovery completed on 03 Dec 2019, assessment completed on 27 Jan 2021, clean-up and remediation completed on 20 Mar 2021, site certified on 04 Oct 2021, documentation completed on 14 Feb 2022",-,Download,Download
"Oct 16, 2019",Agbada II Well 62L Flowline at Omueke,"Oct 19, 2019",Land,Sabotage,0.2,,"No recoverable oil found, assessment completed on 15 Jan 2020, clean-up and remediation not required, site certified on 07 May 2021, documentation completed on 28 Jan 2022",-,Download,Download
"Oct 24, 2019",14'' Okordia – Rumuekpe Pipeline at Oshie,"Oct 26, 2019",Swamp,Sabotage,107.0,,"Recovery completed on 06 Jan 2020, assessment completed on 30 Jan 2020, clean-up and remediation planned to be completed in Mar 2023",-,Download,Download
"Oct 25, 2019",4'' Obigbo Well 38 & 52 Flowline at Umuebulu,"Oct 31, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 31 Oct 2019, clean-up and remediation not required, site certified on 25 Nov 2019, documentation completed on 30 Jan 2020",-,Download,Download
"Oct 27, 2019",4'' Agbada2 Well 58 Flowline at Omueke,"Oct 30, 2019",Land,Sabotage,0.1,,"No recoverable oil found, assessment completed on 30 Oct 2019, clean-up and remediation not required, site certified on 25 Nov 2019, documentation completed on 11 Mar 2020",-,Download,Download
"Oct 30, 2019",24'' Bomu -Bomu Pipeline at Owokiri,"Oct 31, 2019",Swamp,Sabotage,2.0,,"No recoverable oil found, assessment completed on 17 Jan 2020, clean-up and remediation not required, site certified on 15 Jul 2021, documentation completed on 15 Sep 2022",-,Download,Download
"Oct 31, 2019",12'' Imo River - Ogale Pipeline at Obolo,"Nov 12, 2019",Land,Sabotage,3.0,,"Recovery completed on 12 Nov 2019, assessment completed on 05 May 2020, clean-up and remediation completed on 16 Dec 2021, site certified on 28 Apr 2022, documentation completed on 17 May 2022",-,Download,Download
"Nov 01, 2019",20'' Trans - Escravos Pipeline at Ugboegungun,"Nov 04, 2019",Swamp,Sabotage,5.0,,"Recovery completed on 04 Nov 2019, assessment completed on 13 Jan 2020, clean-up and remediation completed on 26 May 2021, site certified on 01 Feb 2022, documentation completed on 03 Jun 2022",-,Download,Download
"Nov 06, 2019",8'' Isimiri - Imogate Pipeline at Uzuaku,"Nov 08, 2019",Land,Sabotage,15.0,,"Recovery completed on 09 Nov 2019, assessment completed on 07 Jul 2022, clean-up and remediation not required, site certification planned to be completed in Jun 2023",-,Download,Download
"Nov 09, 2019",20'' Trans Escravos Pipeline at Ugboegungun,"Nov 11, 2019",Swamp,Sabotage,2.0,,"No recoverable oil found, assessment completed on 14 Jan 2020, clean-up and remediation not required, site certified on 07 Dec 2021, documentation planned to be completed in Mar 2022",-,Download,Download
"Nov 12, 2019",24” Nkpoku – Bomu Pipeline at Nonwa,"Nov 14, 2019",Land,Sabotage,16.0,,"Spill was contained on 13 Nov 2019, recovery completed on 15 Nov 2019, assessment completed on 05 Dec 2019, clean-up and remediation completed on 13 Oct 2022, site certified on 24 Jan 2023, documentation completed on 31 Jan 2023",-,Download,Download
"Nov 13, 2019",24” Nkpoku – Bomu Pipeline at Kpite,"Nov 14, 2019",Land,Sabotage,13.0,,"Recovery completed on 14 Nov 2019, assessment completed on 06 Dec 2019, clean-up and remediation completed on 10 May 2022, site certified on 30 Jun 2022, documentation completed on 12 Aug 2022",-,Download,Download
"Nov 20, 2019",28'' Bomu - Bonny Pipeline at Patrick Waterside-Bodo West,"Nov 21, 2019",Swamp,Sabotage,30.0,,"Recovery completed on 02 Dec 2019, assessment completed on 02 Dec 2019, clean-up and remediation planned to be completed in Nov 2022","Stated timeline for cleanup is as agreed between NAPIMS, DPR,NOSDRA,BODO and community representatives; to ensure effective/thorough clean-up and certification. The Bodo clean-up process is managed by an independent mediation committee (Bodo Mediation Initiative - BMI) comprising amongst others of representatives of; Federal /State Government regulators, Bodo Community and Coalition of NGOs.",Download,Download
"Nov 21, 2019","20"" Opukushi - Brass Creek Pipeline at Tamogbene","Nov 21, 2019",Swamp,Sabotage,3.0,,"No recoverable oil found, assessment completed on 05 Jun 2021, clean-up and remediation not required, site certified on 22 Feb 2022, documentation planned to be completed in Jun 2022",-,Download,Download
"Nov 23, 2019","14"" Okordia - Rumuekpe Pipeline at Ula-Okobo","Nov 24, 2019",Swamp,Sabotage,69.0,,"Spill was contained on 20 Nov 2019, recovery completed on 22 Dec 2019, assessment completed on 16 Feb 2020, clean-up and remediation completed on 06 Apr 2021, site certification planned to be completed in Dec 2021",-,Download,Download
